CLASS_ID,LC_TYPE,YEAR,AVE,B2,B3,B4,B5,B6,B7,B10,DIF,EVI,HH,HH_ASM,HH_CON,HH_COR,HH_DIS,HH_ENT,HH_IDM,HH_SAVG,HH_VAR,HV,HV_ASM,HV_CON,HV_COR,HV_DIS,HV_ENT,HV_IDM,HV_SAVG,HV_VAR,LSWI,NDI,NDTI,NDVI,NLI,RT1,RT2,SATVI,Random
0,FOR,2015,4069.5,0.08636218,0.06428963,0.04102452,0.22848725,0.08607523,0.033136114,293.30573,3027,0.566751271,-7.192131,0.104166667,2967209.583,0.214885659,1461.25,2.282174096,5.50233E-05,-14435.45833,1904293.939,-12.937598,0.104166667,2967209.583,0.214885659,1461.25,2.282174096,5.50233E-05,-14435.45833,1904293.939,0.45273048,0.37191302,0.44407785,0.69556415,1753.3048,2.1842723,0.4578184,0.214924843,0.715510793
0,FOR,2015,7757.5,0.08555508,0.06891803,0.043790955,0.27252454,0.11905888,0.0453281,292.9129,4527,0.639916461,-4.315273,0.104166667,2567121.688,-0.085112967,1313.6875,2.282174096,0.0009297,-10092.27083,1249311.869,-9.960616,0.104166667,2567121.688,-0.085112967,1313.6875,2.282174096,0.0009297,-10092.27083,1249311.869,0.39191052,0.29178214,0.4485196,0.7231185,3548.5256,1.8239897,0.54824865,0.308498726,0.224444578
0,FOR,2015,4500,0.08396416,0.0678765,0.043575656,0.2456347,0.11141194,0.044609014,292.9129,2758,0.575760354,-6.2951846,0.104166667,1698479.188,0.008942802,998.6458333,2.282174096,0.000837709,-12022.3125,927125.6176,-11.602487,0.104166667,1698479.188,0.008942802,998.6458333,2.282174096,0.000837709,-12022.3125,927125.6176,0.37592503,0.30644444,0.42816636,0.6986577,2038.7065,1.8836911,0.5308726,0.286707496,0.224444578
0,FOR,2015,5317,0.08491043,0.06494397,0.04160064,0.21099108,0.09624639,0.03798059,293.12305,3974,0.514072864,-6.518208,0.104166667,685456.625,0.143835438,725.5833333,2.282174096,1.0598E-05,-13930.54167,422112.8168,-11.517405,0.104166667,685456.625,0.143835438,725.5833333,2.282174096,1.0598E-05,-13930.54167,422112.8168,0.37347233,0.37370697,0.43408412,0.67060965,2287.2222,2.1933935,0.45591456,0.248363775,0.224444578
0,FOR,2015,5198.5,0.08409239,0.06520566,0.043438688,0.23391148,0.104133464,0.042733274,293.28198,1777,0.551231843,-5.8954954,0.104166667,2185983.208,-0.234257192,1140.541667,2.282174096,0.001247328,-10642.375,861343.9505,-10.270231,0.104166667,2185983.208,-0.234257192,1140.541667,2.282174096,0.001247328,-10642.375,861343.9505,0.3839076,0.17091468,0.41806737,0.68675923,2523.321,1.412297,0.70806634,0.264437701,0.224444578
0,FOR,2015,6276,0.08487478,0.06811819,0.044057745,0.24114153,0.10517616,0.043847095,293.0449,3024,0.567031944,-5.902674,0.104166667,2272543.438,-0.176073355,1120.895833,2.282174096,0.001140181,-11415.97917,974460.4683,-9.841365,0.104166667,2272543.438,-0.176073355,1120.895833,2.282174096,0.001140181,-11415.97917,974460.4683,0.392603,0.24091779,0.4115402,0.69103885,2955.8662,1.6347607,0.6117103,0.264371422,0.224444578
0,FOR,2015,4834.5,0.088191465,0.06732249,0.043773178,0.24336466,0.105858326,0.042857703,293.0598,3075,0.590809574,-6.885566,0.104166667,2182319.771,0.139374111,1169.5625,2.282174096,2.69633E-05,-12930.1875,1237772.175,-11.690391,0.104166667,2182319.771,0.139374111,1169.5625,2.282174096,2.69633E-05,-12930.1875,1237772.175,0.3937494,0.3180267,0.42363036,0.69510686,2172.767,1.9326661,0.51741993,0.268248391,0.224444578
0,FOR,2015,4584,0.08926723,0.067211695,0.0392456,0.28875938,0.11900253,0.04925425,292.61105,1434,0.72980398,-7.657306,0.104166667,3617668.813,-0.112405342,1565.354167,2.282174096,1.83029E-05,-12538.52083,1647492.545,-12.170728,0.104166667,3617668.813,-0.112405342,1565.354167,2.282174096,1.83029E-05,-12538.52083,1647492.545,0.41631365,0.15641361,0.41453475,0.7607012,2235.9258,1.37083,0.729485,0.332116386,0.060515823
0,FOR,2015,5404,0.08537015,0.06719063,0.042939633,0.26025754,0.10219349,0.039279684,293.27655,2402,0.619055255,-5.4286695,0.104166667,3112879.354,-0.008296006,1423.770833,2.282174096,0.001127994,-10532.47917,1528597.654,-9.989196,0.104166667,3112879.354,-0.008296006,1423.770833,2.282174096,0.001127994,-10532.47917,1528597.654,0.43609768,0.22224279,0.44470483,0.7167544,2568.5432,1.5714966,0.6363361,0.261145883,0.060515823
0,FOR,2015,6628.5,0.0880203,0.07140018,0.046390146,0.29202372,0.12009658,0.046963535,293.44684,4017,0.674660091,-4.556959,0.104166667,1069494.854,0.011927759,871.3125,2.282174096,0.001131445,-9209.9375,529807.1385,-10.897986,0.104166667,1069494.854,0.011927759,871.3125,2.282174096,0.001131445,-9209.9375,529807.1385,0.41717708,0.30300972,0.43776482,0.72583777,3009.9524,1.8694805,0.53490794,0.297749612,0.060515823
0,FOR,2015,6801,0.08498666,0.06721331,0.040346786,0.3032384,0.12504469,0.048607517,293.05847,3346,0.723884929,-6.5695367,0.104166667,3673861.021,0.219428948,1571.270833,2.282174096,1.80723E-05,-12153.64583,2327705.958,-11.124483,0.104166667,3673861.021,0.219428948,1571.270833,2.282174096,1.80723E-05,-12153.64583,2327705.958,0.41606525,0.24599324,0.44017392,0.76514244,3194.7266,1.6524961,0.60514516,0.343301212,0.060515823
0,FOR,2015,7491,0.08712112,0.0677657,0.043294784,0.23947912,0.10491214,0.03846452,292.7309,4356,0.579851026,-3.5214343,0.104166667,3273898.542,0.086894838,1527.5,2.282174096,0.001127051,-9558.666667,1629342.684,-8.685496,0.104166667,3273898.542,0.086894838,1527.5,2.282174096,0.001127051,-9558.666667,1629342.684,0.39073867,0.2907489,0.46344796,0.69378513,3428.8745,1.8198757,0.54948807,0.268300535,0.060515823
0,FOR,2015,9477.5,0.0875498,0.070835724,0.04625752,0.28167605,0.11101035,0.046866965,293.3871,4351,0.652058336,-3.5273268,0.104166667,1313098.021,-0.160831928,989.3541667,2.282174096,0.00112932,-8588.3125,544705.1628,-8.893811,0.104166667,1313098.021,-0.160831928,989.3541667,2.282174096,0.00112932,-8588.3125,544705.1628,0.43461066,0.22954366,0.40628627,0.71788484,4489.064,1.5958642,0.62661976,0.270965556,0.060515823
0,FOR,2015,5836.5,0.09215486,0.076143175,0.04919982,0.29553673,0.14510477,0.061757702,296.3156,2929,0.684593082,-6.6910725,0.104166667,2029325.375,-0.156582971,1090.5,2.282174096,7.20511E-06,-14495,945877.8299,-11.853015,0.104166667,2029325.375,-0.156582971,1090.5,2.282174096,7.20511E-06,-14495,945877.8299,0.34139308,0.25092092,0.4029105,0.7145657,2734.5132,1.6699451,0.59882206,0.348394186,0.159410228
0,FOR,2015,4866,0.09299034,0.07619151,0.049100433,0.30624014,0.14298403,0.060890205,296.31683,3114,0.711576776,-7.228587,0.104166667,1530541.646,0.045469855,978.8541667,2.282174096,7.19428E-06,-15080.4375,790768.5326,-12.793728,0.104166667,1530541.646,0.045469855,978.8541667,2.282174096,7.19428E-06,-15080.4375,790768.5326,0.3634179,0.31997535,0.40266895,0.72364295,2183.8992,1.9410698,0.5151798,0.343782968,0.159410228
