system:index,B1,B2,B3,B4,B5,B6,B7,ClassID,EVI,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_1_1_1_1_1_0_0,0.08158252,0.057274144,0.038884304,0.14042643,0.049679905,291.98297,0.019312982,0,0.33320318720626785,0.47734612,0.44014573,0.5662914,0.06242389893338835,0.4997963661739885,
1_1_1_1_1_1_1_1_0_1,0.08542909,0.06059976,0.040374964,0.1426874,0.052374624,291.98215,0.02364986,0,0.343690590284437,0.46299517,0.3778357,0.55889386,0.06774452882211185,0.4997963661739885,
1_1_1_1_1_1_1_1_0_2,0.08415975,0.062195092,0.04036439,0.20326523,0.077478096,291.98297,0.027400294,0,0.5001539863982304,0.44805032,0.47748446,0.6686414,0.18507232482795338,0.4997963661739885,
1_1_1_1_1_1_1_1_0_3,0.08525345,0.06220369,0.040374964,0.16754818,0.060685694,292.20746,0.027460333,0,0.412687214189038,0.46821484,0.37693542,0.6116357,0.10973272025941784,0.4997963661739885,
1_1_1_1_1_1_1_1_2_0,0.08799395,0.061081544,0.040339306,0.1689885,0.06325957,293.3249,0.022905916,0,0.4282198723162419,0.45524135,0.46832737,0.6145824,0.12254383620917918,0.07694779212517855,
1_1_1_1_1_1_1_1_2_1,0.0845151,0.058618378,0.03969707,0.14848366,0.052431025,292.87842,0.020742835,0,0.361271875959263,0.47807673,0.4330534,0.57809633,0.07221890851189347,0.07694779212517855,
1_1_1_1_1_1_1_1_2_2,0.08411388,0.06333274,0.040997054,0.19550167,0.079096064,293.3249,0.029801413,0,0.47649555561589,0.4239132,0.45267028,0.6533,0.18783507922275605,0.07694779212517855,
1_1_1_1_1_1_1_1_2_3,0.08610298,0.06189398,0.041187733,0.17502823,0.06705674,293.3249,0.02587339,0,0.43097485766154164,0.4460066,0.44316468,0.619013,0.1350395777310281,0.07694779212517855,
1_1_1_1_1_1_1_1_10_0,0.09753109,0.0740145,0.051130302,0.26513666,0.112154886,292.20245,0.04443108,0,0.6365937779353172,0.40547362,0.43250242,0.67666364,0.2498102859875179,0.04084199671038147,
1_1_1_1_1_1_1_1_10_1,0.09536034,0.07581658,0.052217435,0.21741837,0.084151566,292.87924,0.03282534,0,0.5064279471864559,0.44191012,0.4387723,0.61268175,0.14639576052845304,0.04084199671038147,
1_1_1_1_1_1_1_1_10_2,0.09656291,0.07495081,0.050059106,0.22940269,0.09660403,293.10205,0.035563536,0,0.5565973794462281,0.40734947,0.4618417,0.64174634,0.20421277032441243,0.04084199671038147,
1_1_1_1_1_1_1_1_10_3,0.09671081,0.074005865,0.051497806,0.23520513,0.1010282,293.3249,0.036209207,0,0.5608624218175426,0.399059,0.47231284,0.64075845,0.212202708338776,0.04084199671038147,
1_1_1_1_1_1_1_1_10_4,0.097135425,0.07098465,0.05047468,0.207169,0.07800685,293.10205,0.030746799,0,0.5012605091848287,0.45292106,0.4345606,0.60818225,0.13069818614306444,0.04084199671038147,
1_1_1_1_1_1_1_1_10_5,0.095255844,0.074463025,0.053240556,0.2373685,0.099175125,293.10205,0.038368404,0,0.5464431033749805,0.41062543,0.44209075,0.63359326,0.19668670198620777,0.04084199671038147,
1_1_1_1_1_1_1_1_11_0,0.09515135,0.06649186,0.04529921,0.1449578,0.053831626,291.98297,0.022665724,0,0.35434520269603054,0.45840552,0.40741152,0.5238103,0.046647526840888236,0.6748884574837029,
