system:index,ClassID,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,random,.geo
1_1_1_1_1_1_1_1_0_0,0,-4.7184496,0.10416666666666669,990825.6041666666,-0.10549057150438465,716.6874999999999,2.2821740957339185,9.882471482754527E-5,-10184.0625,463777.711371528,0.4997963661739885,
1_1_1_1_1_1_1_1_0_1,0,-4.6016693,0.10416666666666669,1162436.6458333333,-0.08959958448173799,856.7708333333333,2.2821740957339185,7.411937598469299E-5,-10627.979166666666,545023.8120659748,0.4997963661739885,
1_1_1_1_1_1_1_1_0_2,0,-4.990965,0.10416666666666669,201387.8541666667,-0.17839216782218367,359.0625,2.2821740957339185,1.069258432661125E-4,-9258.479166666666,87668.75998264086,0.4997963661739885,
1_1_1_1_1_1_1_1_0_3,0,-4.6861453,0.10416666666666669,353148.9583333333,-0.09972967016421011,503.6249999999999,2.2821740957339185,8.15581316653905E-5,-9754.625,172305.25173611194,0.4997963661739885,
1_1_1_1_1_1_1_1_0_4,0,-3.974188,0.10416666666666669,856582.0416666666,-0.23137693209067248,785.1666666666666,2.2821740957339185,1.1931652178524074E-5,-9590.25,351291.4314236073,0.4997963661739885,
1_1_1_1_1_1_1_1_0_5,0,-4.762491,0.10416666666666669,660343.9583333333,-0.2730055284625594,692.625,2.2821740957339185,1.2581150587658701E-5,-9857.5,268272.05208333116,0.4997963661739885,
1_1_1_1_1_1_1_1_2_0,0,-5.30505,0.10416666666666669,416438.1666666666,-0.1683393949459961,518.9583333333334,2.2821740957339185,1.5923316869480622E-4,-10758.833333333334,182500.56944444496,0.07694779212517855,
1_1_1_1_1_1_1_1_2_1,0,-5.6510606,0.10416666666666669,257684.2083333333,-0.13463539288435572,401.0833333333333,2.2821740957339185,1.8357824510517929E-4,-11072.416666666668,115930.68402777798,0.07694779212517855,
1_1_1_1_1_1_1_1_2_2,0,-4.7288013,0.10416666666666669,2597458.1041666665,-0.1717229281945669,1325.7708333333333,2.2821740957339185,2.925119473858474E-6,-11521.270833333332,1146595.3901909748,0.07694779212517855,
1_1_1_1_1_1_1_1_2_3,0,-6.081663,0.10416666666666669,1122907.375,-0.06139742247632013,803.625,2.2821740957339185,3.322205780822227E-5,-11877.083333333334,543800.8133680522,0.07694779212517855,
1_1_1_1_1_1_1_1_2_4,0,-7.8249283,0.10416666666666669,2650912.8541666665,-0.029515721205480155,1309.1458333333333,2.2821740957339185,5.933069170853518E-6,-13153.145833333332,1305762.46310764,0.07694779212517855,
1_1_1_1_1_1_1_1_2_5,0,-6.3153715,0.10416666666666669,1400875.2916666665,-0.20247346430794533,949.4583333333333,2.2821740957339185,8.07659898256877E-6,-12662.833333333332,588186.940972222,0.07694779212517855,
1_1_1_1_1_1_1_1_10_0,0,-7.6264157,0.10416666666666669,1866774.1249999998,-0.06626882117181919,1124.9166666666665,2.2821740957339185,2.532816368431529E-4,-12758.666666666666,853158.3090277798,0.04084199671038147,
1_1_1_1_1_1_1_1_10_1,0,-5.294134,0.10416666666666669,2315272.645833333,0.09782979657971522,1233.2708333333335,2.2821740957339185,2.4967591863119334E-4,-11999.354166666666,1227000.661024304,0.04084199671038147,
1_1_1_1_1_1_1_1_10_2,0,-6.7905116,0.10416666666666669,2513778.5,-0.055160973374676486,1253.25,2.2821740957339185,1.1651888689804658E-4,-11576.416666666668,1230948.6597222202,0.04084199671038147,
1_1_1_1_1_1_1_1_10_3,0,-7.4454865,0.10416666666666669,1478330.3958333333,-0.46906726411037514,1060.4791666666667,2.2821740957339185,5.896459700516508E-5,-13680.770833333332,500259.6749131959,0.04084199671038147,
1_1_1_1_1_1_1_1_10_4,0,-6.5322256,0.10416666666666669,1128579.9583333333,-0.03497553406627943,876.2083333333333,2.2821740957339185,5.171559051891565E-5,-13211.374999999998,541158.6267361157,0.04084199671038147,
1_1_1_1_1_1_1_1_10_5,0,-5.810972,0.10416666666666669,482899.8333333334,-0.08593735483688034,546.4166666666666,2.2821740957339185,1.3782112100714944E-4,-12834.916666666666,234850.9696180597,0.04084199671038147,
1_1_1_1_1_1_1_1_11_0,0,-5.861461,0.10416666666666669,885047.5833333334,-0.04673311326881783,730.25,2.2821740957339185,9.819366538138836E-5,-11757.249999999998,429024.41579861194,0.6748884574837029,
1_1_1_1_1_1_1_1_11_1,0,-5.359652,0.10416666666666669,493555.2916666666,-0.1248984415459618,526.75,2.2821740957339185,9.996061888006536E-5,-11173.166666666668,232112.5243055513,0.6748884574837029,
1_1_1_1_1_1_1_1_11_2,0,-5.7181697,0.10416666666666669,822142.3541666666,-0.26697361658145874,685.1458333333334,2.2821740957339185,8.466359995074882E-5,-11323.395833333334,318377.15060763713,0.6748884574837029,
1_1_1_1_1_1_1_1_11_3,0,-5.8931956,0.10416666666666669,164660.6666666667,-0.08254048600921302,344.91666666666663,2.2821740957339185,8.878248825742083E-5,-11304.833333333334,77161.93055555318,0.6748884574837029,
1_1_1_1_1_1_1_1_12_0,0,-3.6324525,0.11197916666666669,238451.5625,-0.200877055116756,373.0625,2.238852396948922,0.06260448788959558,-7657.229166666667,105144.21310764225,0.21351296321745894,
1_1_1_1_1_1_1_1_12_1,0,-4.1124935,0.11197916666666669,827067.3958333334,0.12664915902438653,683.3958333333333,2.238852396948922,0.06257569743586884,-8315.770833333332,469448.7287326418,0.21351296321745894,
1_1_1_1_1_1_1_1_12_2,0,-5.5499573,0.10416666666666669,1367592.5416666667,0.11566028142431152,911.4166666666666,2.2821740957339185,1.003991638291315E-4,-9825.958333333334,755735.998263889,0.21351296321745894,
1_1_1_1_1_1_1_1_12_3,0,-3.7664278,0.10416666666666669,1194029.0208333333,0.13294850850666112,864.2291666666666,2.2821740957339185,4.221241149950715E-5,-8889.979166666666,666917.499565973,0.21351296321745894,
1_1_1_1_1_1_1_1_12_4,0,-4.159831,0.10416666666666669,852361.5,0.049870507786611076,760.5416666666666,2.2821740957339185,0.004192194462234217,-9205.041666666668,461409.5434027733,0.21351296321745894,
