system:index,ClassID,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,random,.geo
1_1_1_1_1_1_1_1_3_0,0,-6.1655493,0.10416666666666669,1441373.125,0.12499025142866363,1034.875,2.2821740957339185,3.201634965410185E-5,-13014.125,858804.9392361175,0.4706051497046464,
1_1_1_1_1_1_1_1_3_1,0,-5.3047504,0.10416666666666669,836848.25,-0.20273540297853568,787.4583333333335,2.2821740957339185,2.4204131288294097E-5,-11683.125,340901.95572916605,0.4706051497046464,
1_1_1_1_1_1_1_1_3_2,0,-5.8616,0.10416666666666669,915292.6041666667,-0.22513729906818286,722.4791666666666,2.2821740957339185,6.717914675150085E-4,-11688.395833333332,402336.2131076399,0.4706051497046464,
1_1_1_1_1_1_1_1_3_3,0,-6.6238074,0.10416666666666669,1563769.1041666665,0.22341780344105105,1093.7291666666665,2.2821740957339185,1.0228720907807757E-5,-12834.395833333332,1063909.5047743097,0.4706051497046464,
1_1_1_1_1_1_1_1_3_4,0,-5.1132627,0.10416666666666669,803864.3125,-0.44782640327852086,818.3958333333334,2.2821740957339185,4.7089035632689095E-6,-11474.8125,279054.2513020821,0.4706051497046464,
1_1_1_1_1_1_1_1_3_5,0,-6.2834263,0.10416666666666669,361969.1666666666,-0.06278398889248187,491.70833333333337,2.2821740957339185,6.7520383480813E-4,-11646.291666666668,175965.30121527705,0.4706051497046464,
1_1_1_1_1_1_1_1_3_6,0,-5.755087,0.10416666666666669,2634202.833333333,0.24855968979392257,1332.5,2.2821740957339185,2.8804762400875692E-6,-12044.541666666668,1670432.639756944,0.4706051497046464,
1_1_1_1_1_1_1_1_3_7,0,-5.286742,0.10416666666666669,3388468.1249999995,-0.22178141965855055,1424.875,2.2821740957339185,5.661086128466028E-6,-10732.708333333332,1335562.6545138843,0.4706051497046464,
1_1_1_1_1_1_1_1_3_8,0,-6.0168962,0.10416666666666669,1952357.229166667,-0.0655603071832453,940.6041666666666,2.2821740957339185,1.194464931048112E-5,-11315.354166666668,914891.374565973,0.4706051497046464,
1_1_1_1_1_1_1_1_5_0,0,-6.124269,0.10416666666666669,2229236.5625,-0.13812946312635926,1232.8125,2.2821740957339185,7.161550915647949E-6,-13534.8125,992456.1697048638,0.20706409376289292,
1_1_1_1_1_1_1_1_5_1,0,-6.260052,0.10416666666666669,1802453.3333333335,-0.0028304565248157276,1042.0,2.2821740957339185,2.557318568530036E-5,-13628.208333333332,927881.8793402817,0.20706409376289292,
1_1_1_1_1_1_1_1_5_2,0,-7.18358,0.10416666666666669,1039552.6874999999,-0.0980987685214054,766.3541666666665,2.2821740957339185,1.0030411547054047E-4,-13284.9375,509379.5603298675,0.20706409376289292,
1_1_1_1_1_1_1_1_5_3,0,-5.531326,0.10416666666666669,1185569.6875,-0.32169114565369084,933.2708333333333,2.2821740957339185,1.2055780615114523E-5,-12721.604166666668,461554.26345486566,0.20706409376289292,
1_1_1_1_1_1_1_1_5_4,0,-6.592632,0.10416666666666669,475474.5625,-0.23898597574488512,612.7708333333334,2.2821740957339185,2.9451836249590482E-5,-12540.354166666666,202805.62456597574,0.20706409376289292,
1_1_1_1_1_1_1_1_5_5,0,-6.1995497,0.10416666666666669,436678.0208333334,-0.16141146259651357,566.1875,2.2821740957339185,1.0406018788751101E-4,-12901.770833333334,181815.45789931342,0.20706409376289292,
1_1_1_1_1_1_1_1_5_6,0,-5.904677,0.10416666666666669,1143584.2291666665,-0.3728422360287097,899.0208333333333,2.2821740957339185,3.5563761643829716E-5,-12727.604166666666,414632.6349826325,0.20706409376289292,
1_1_1_1_1_1_1_1_5_7,0,-6.665623,0.10416666666666669,473169.6666666666,-0.30699009955682366,601.6666666666667,2.2821740957339185,3.7031618354932035E-5,-12456.666666666668,185105.9409722183,0.20706409376289292,
1_1_1_1_1_1_1_1_5_8,0,-5.6807375,0.10416666666666669,559334.3125,-0.15979097119310315,631.8541666666666,2.2821740957339185,1.7705443403616677E-5,-12658.354166666668,245764.51345486008,0.20706409376289292,
1_1_1_1_1_1_1_1_6_0,0,-6.740981,0.10416666666666669,1145266.6458333335,0.13625329043884513,833.0625,2.2821740957339185,2.2091673228447317E-4,-12474.229166666668,636389.0985243097,0.4591595559769599,
1_1_1_1_1_1_1_1_6_1,0,-7.1570196,0.10416666666666669,2651673.0208333335,0.05923496187722927,1294.6041666666665,2.2821740957339185,2.211311468386266E-4,-14764.479166666668,1536666.2964409776,0.4591595559769599,
1_1_1_1_1_1_1_1_6_2,0,-9.392445,0.10416666666666669,2852399.625,-0.39918686238590684,1455.25,2.2821740957339185,3.556705561628017E-5,-16488.416666666668,1013800.8576388955,0.4591595559769599,
1_1_1_1_1_1_1_1_6_3,0,-4.9885483,0.10416666666666669,1490583.4583333333,0.13195164146084495,984.3333333333333,2.2821740957339185,7.192190066539179E-5,-11830.916666666668,862314.8576388862,0.4591595559769599,
1_1_1_1_1_1_1_1_6_4,0,-7.12003,0.10416666666666669,2260381.8125,0.17481262317175214,1270.5208333333333,2.2821740957339185,5.785315083302301E-5,-14190.479166666666,1427745.2078993078,0.4591595559769599,
1_1_1_1_1_1_1_1_6_5,0,-8.838068,0.10416666666666669,1865393.0416666665,-0.10596769398540648,1140.0416666666665,2.2821740957339185,5.9092419684332964E-5,-15963.666666666666,843311.4826388899,0.4591595559769599,
1_1_1_1_1_1_1_1_6_6,0,-5.9186573,0.10416666666666669,1673451.9166666665,0.08764846317268872,1045.7916666666665,2.2821740957339185,4.3875989983547006E-5,-11098.5,977135.3255208312,0.4591595559769599,
1_1_1_1_1_1_1_1_6_7,0,-6.9958024,0.10416666666666669,1501743.5208333333,0.10598985852523601,1018.7708333333334,2.2821740957339185,2.952372520959502E-5,-13137.812499999998,871683.7217881978,0.4591595559769599,
1_1_1_1_1_1_1_1_6_8,0,-6.951216,0.10416666666666669,1103830.7083333333,0.1463469097249087,825.5416666666667,2.2821740957339185,0.0024813854680377618,-14492.166666666666,663116.1623263955,0.4591595559769599,
1_1_1_1_1_1_1_1_7_0,0,-6.0199103,0.10416666666666669,570802.5416666666,0.14358018194996244,592.75,2.2821740957339185,5.2530839771223467E-5,-12608.208333333332,316627.91753472574,0.0383585924971106,
1_1_1_1_1_1_1_1_7_1,0,-7.2993546,0.10416666666666669,791671.6874999999,-0.1822728869194884,775.4791666666666,2.2821740957339185,2.0279453166754525E-5,-13135.5625,324762.5447048694,0.0383585924971106,
1_1_1_1_1_1_1_1_7_2,0,-6.591326,0.10416666666666669,443931.7291666666,-0.3223286729385311,540.6041666666666,2.2821740957339185,1.0208988696719417E-4,-13237.979166666666,168250.66102431342,0.0383585924971106,
1_1_1_1_1_1_1_1_7_3,0,-6.6724534,0.10416666666666669,430032.5416666666,0.15770461162915514,547.3333333333333,2.2821740957339185,5.4114445338701047E-5,-12957.5,272382.1006944459,0.0383585924971106,
1_1_1_1_1_1_1_1_7_4,0,-7.2494836,0.10416666666666669,561311.3125,-0.46988523270659965,673.3541666666666,2.2821740957339185,2.2850644826341533E-5,-13519.395833333332,187447.19748264924,0.0383585924971106,
1_1_1_1_1_1_1_1_7_5,0,-6.259671,0.10416666666666669,363138.25,-0.33516719584689225,514.7083333333333,2.2821740957339185,4.2294512151926465E-5,-13432.791666666666,133919.54774306156,0.0383585924971106,
1_1_1_1_1_1_1_1_7_6,0,-6.3374677,0.10416666666666669,503893.6666666666,0.15254097500677877,596.9583333333334,2.2821740957339185,2.2241072021842035E-5,-12887.833333333332,316240.2248263899,0.0383585924971106,
1_1_1_1_1_1_1_1_7_7,0,-6.993265,0.10416666666666669,462776.56249999994,-0.35282909102858606,587.7291666666667,2.2821740957339185,1.8238324272877285E-5,-13340.1875,171551.8103298694,0.0383585924971106,
1_1_1_1_1_1_1_1_7_8,0,-6.3780637,0.10416666666666669,586817.7083333334,-0.36270771854331624,665.9583333333334,2.2821740957339185,1.2560547918858044E-5,-13115.125,215458.66840278544,0.0383585924971106,
1_1_1_1_1_1_1_1_8_0,0,-8.286711,0.10416666666666669,3783983.875,0.020197967297140185,1497.0833333333333,2.2821740957339185,2.9995013186655957E-5,-16214.291666666666,1929053.0842013918,0.5539264360887068,
1_1_1_1_1_1_1_1_8_1,0,-8.425575,0.10416666666666669,3260732.375,-0.05492851918569135,1291.7916666666665,2.2821740957339185,3.720790627772539E-5,-16375.249999999998,1553655.3793402761,0.5539264360887068,
1_1_1_1_1_1_1_1_8_2,0,-8.726738,0.10416666666666669,1979710.6875,-0.11659642047222171,957.5625,2.2821740957339185,2.9329069325881444E-5,-16381.520833333332,907341.6124131978,0.5539264360887068,
1_1_1_1_1_1_1_1_8_3,0,-5.240789,0.10416666666666669,4029243.1041666665,-0.3122895554035253,1605.4375,2.2821740957339185,2.5758425142577636E-5,-14784.687499999998,1501958.5238715354,0.5539264360887068,
1_1_1_1_1_1_1_1_8_4,0,-8.365753,0.10416666666666669,4499103.416666666,-0.3657309939236614,1687.4583333333335,2.2821740957339185,4.210705197111444E-5,-15209.083333333332,1650218.2196180616,0.5539264360887068,
1_1_1_1_1_1_1_1_8_5,0,-5.8079834,0.10416666666666669,3769198.895833333,-0.3709999123117428,1535.3541666666665,2.2821740957339185,3.294891621753087E-5,-15842.229166666668,1344102.9144965373,0.5539264360887068,
1_1_1_1_1_1_1_1_10_0,0,-8.244791,0.10416666666666669,1057727.1249999998,-0.09718960782982758,608.4583333333333,2.2821740957339185,4.96541675238699E-5,-16018.458333333332,435334.10590277985,0.5502014588085271,
1_1_1_1_1_1_1_1_10_1,0,-8.164478,0.10416666666666669,1617324.9583333335,-0.2874187976575537,887.0833333333333,2.2821740957339185,3.723633021616404E-5,-16157.624999999998,601993.616319444,0.5502014588085271,
1_1_1_1_1_1_1_1_10_2,0,-9.5642,0.10416666666666669,3933576.4791666665,-0.11118050974903916,1547.9374999999998,2.2821740957339185,4.093230987075718E-5,-15498.479166666664,1672158.7912326436,0.5502014588085271,
1_1_1_1_1_1_1_1_10_3,0,-7.9745007,0.10416666666666669,381741.0208333333,0.18190312570661216,499.43749999999994,2.2821740957339185,1.703285534331918E-5,-15869.020833333334,223897.91102431156,0.5502014588085271,
1_1_1_1_1_1_1_1_10_4,0,-7.5691423,0.10416666666666669,636470.25,-0.05152368992428544,572.0833333333334,2.2821740957339185,4.447217571675345E-5,-15692.791666666668,335895.26649306715,0.5502014588085271,
