system:index,AVE,B10,B2,B3,B4,B5,B6,B7,ClassID,DIF,EVI,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,HV,HV_asm,HV_contrast,HV_corr,HV_diss,HV_ent,HV_idm,HV_savg,HV_var,LSWI,NDI,NDTI,NDVI,NLI,RT1,RT2,SATVI,random,.geo
1_1_1_1_1_1_1_1_3_0,7757.5,292.9129,0.08555508,0.06891803,0.043790955,0.27252454,0.11905888,0.0453281,0,4527,0.6399164607038772,-7.987208,0.10416666666666669,5198975.375,-0.06526323898582712,1789.0833333333333,2.2821740957339185,8.964031612318382E-6,-13259.0,2406169.9791666716,-11.716369,0.10416666666666669,5198975.375,-0.06526323898582712,1789.0833333333333,2.2821740957339185,8.964031612318382E-6,-13259.0,2406169.9791666716,0.39191052,0.29178214,0.4485196,0.7231185,3548.5256,1.8239897,0.54824865,0.3084987260800486,0.4706051497046464,
1_1_1_1_1_1_1_1_3_1,4500.0,292.9129,0.08396416,0.0678765,0.043575656,0.2456347,0.11141194,0.044609014,0,2758,0.5757603541441116,-5.1132627,0.10416666666666669,6378562.895833333,-0.24607988057430452,2021.5208333333333,2.2821740957339185,1.053699792059835E-5,-11549.6875,2478301.975260419,-11.798465,0.10416666666666669,6378562.895833333,-0.24607988057430452,2021.5208333333333,2.2821740957339185,1.053699792059835E-5,-11549.6875,2478301.975260419,0.37592503,0.30644444,0.42816636,0.6986577,2038.7065,1.8836911,0.5308726,0.2867074964615524,0.4706051497046464,
1_1_1_1_1_1_1_1_3_2,5317.0,293.12305,0.08491043,0.06494397,0.04160064,0.21099108,0.09624639,0.03798059,0,3974,0.5140728641876331,-6.2834263,0.10416666666666669,2013774.2708333335,-0.2893644436912235,916.5625,2.2821740957339185,6.718640699599178E-4,-11159.854166666668,857139.187065972,-10.534613,0.10416666666666669,2013774.2708333335,-0.2893644436912235,916.5625,2.2821740957339185,6.718640699599178E-4,-11159.854166666668,857139.187065972,0.37347233,0.37370697,0.43408412,0.67060965,2287.2222,2.1933935,0.45591456,0.24836377488941833,0.4706051497046464,
1_1_1_1_1_1_1_1_3_3,5198.5,293.28198,0.08409239,0.06520566,0.043438688,0.23391148,0.104133464,0.042733274,0,1777,0.5512318426143267,-8.067571,0.10416666666666669,2523204.5833333335,-0.10030624087609567,1264.4166666666667,2.2821740957339185,2.901226459009518E-5,-13632.625,1151778.9574652761,-12.458144,0.10416666666666669,2523204.5833333335,-0.10030624087609567,1264.4166666666667,2.2821740957339185,2.901226459009518E-5,-13632.625,1151778.9574652761,0.3839076,0.17091468,0.41806737,0.68675923,2523.321,1.412297,0.70806634,0.2644377012579616,0.4706051497046464,
1_1_1_1_1_1_1_1_3_4,6276.0,293.0449,0.08487478,0.06811819,0.044057745,0.24114153,0.10517616,0.043847095,0,3024,0.5670319442083253,-5.3047504,0.10416666666666669,2365963.104166667,-0.1869205998992317,1178.3958333333333,2.2821740957339185,3.212210082289372E-5,-12213.3125,1062230.55859375,-12.025452,0.10416666666666669,2365963.104166667,-0.1869205998992317,1178.3958333333333,2.2821740957339185,3.212210082289372E-5,-12213.3125,1062230.55859375,0.392603,0.24091779,0.4115402,0.69103885,2955.8662,1.6347607,0.6117103,0.26437142226404875,0.4706051497046464,
1_1_1_1_1_1_1_1_3_5,4834.5,293.0598,0.088191465,0.06732249,0.043773178,0.24336466,0.105858326,0.042857703,0,3075,0.5908095735483313,-5.8616,0.10416666666666669,915292.6041666667,-0.22513729906818286,722.4791666666666,2.2821740957339185,6.717914675150085E-4,-11688.395833333332,402336.2131076399,-11.450179,0.10416666666666669,915292.6041666667,-0.22513729906818286,722.4791666666666,2.2821740957339185,6.717914675150085E-4,-11688.395833333332,402336.2131076399,0.3937494,0.3180267,0.42363036,0.69510686,2172.767,1.9326661,0.51741993,0.26824839119588184,0.4706051497046464,
1_1_1_1_1_1_1_1_5_0,5836.5,296.3156,0.09215486,0.076143175,0.04919982,0.29553673,0.14510477,0.061757702,0,2929,0.6845930824360327,-7.83359,0.10416666666666669,614289.0416666666,-0.19466312368189384,609.5833333333333,2.2821740957339185,0.012661412791559055,-13877.749999999998,254170.95746527798,-11.458983,0.10416666666666669,614289.0416666666,-0.19466312368189384,609.5833333333333,2.2821740957339185,0.012661412791559055,-13877.749999999998,254170.95746527798,0.34139308,0.25092092,0.4029105,0.7145657,2734.5132,1.6699451,0.59882206,0.34839418568597663,0.20706409376289292,
1_1_1_1_1_1_1_1_5_1,4866.0,296.31683,0.09299034,0.07619151,0.049100433,0.30624014,0.14298403,0.060890205,0,3114,0.7115767757911501,-6.592632,0.10416666666666669,666623.2291666666,-0.12835188367243594,649.7708333333333,2.2821740957339185,0.01261031533340206,-13280.645833333332,304784.56032986194,-11.28879,0.10416666666666669,666623.2291666666,-0.12835188367243594,649.7708333333333,2.2821740957339185,0.01261031533340206,-13280.645833333332,304784.56032986194,0.3634179,0.31997535,0.40266895,0.72364295,2183.8992,1.9410698,0.5151798,0.3437829677002013,0.20706409376289292,
1_1_1_1_1_1_1_1_5_2,2918.5,296.35675,0.09403907,0.07733368,0.050969407,0.32295978,0.16081047,0.06736634,0,2121,0.7363165058999546,-6.1995497,0.10416666666666669,436678.0208333334,-0.16141146259651357,566.1875,2.2821740957339185,1.0406018788751101E-4,-12901.770833333334,181815.45789931342,-11.536274,0.10416666666666669,436678.0208333334,-0.16141146259651357,566.1875,2.2821740957339185,1.0406018788751101E-4,-12901.770833333334,181815.45789931342,0.33517835,0.36337158,0.4095251,0.7273847,1266.5723,2.14155,0.4669515,0.3756668830741026,0.20706409376289292,
1_1_1_1_1_1_1_1_5_3,5417.0,296.27325,0.090911746,0.07306449,0.045378204,0.2883029,0.11820075,0.049111683,0,3398,0.6911212202030181,-6.5949116,0.10416666666666669,1327070.3333333333,-0.27089657792742317,887.2916666666666,2.2821740957339185,0.012934626195662,-13898.375,492325.2578125,-12.886582,0.10416666666666669,1327070.3333333333,-0.27089657792742317,887.2916666666666,2.2821740957339185,0.012934626195662,-13898.375,492325.2578125,0.41845173,0.31364223,0.41293445,0.7280145,2442.061,1.9139322,0.52248454,0.2971275940861229,0.20706409376289292,
