system:index,B10,B2,B3,B4,B5,B6,B7,ClassID,EVI,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_1_1_2_6_1,298.16873,0.098617636,0.08186469,0.058943335,0.3208126,0.18327409,0.06917998,3,0.7003048070863311,0.27284697,0.45194006,0.6895726,0.38707330888153924,0.6549784486494892,
1_1_1_1_1_2_6_2,298.19968,0.09853444,0.080107436,0.05726168,0.31635794,0.17556801,0.06811728,3,0.7033627952362399,0.28620145,0.44094056,0.6934761,0.3788953265988152,0.6549784486494892,
1_1_1_1_1_2_6_3,298.13065,0.09822938,0.08161115,0.05868078,0.32019103,0.1787218,0.068812445,3,0.6988101780550725,0.283555,0.44401675,0.6902341,0.37911673330952517,0.6549784486494892,
1_1_1_1_1_2_7_0,298.02347,0.09889497,0.08285067,0.05860082,0.32664338,0.18725209,0.071723156,3,0.7155158651522737,0.27124444,0.4461003,0.6957731,0.39584098967359943,0.605343406770334,
1_1_1_1_1_2_7_1,298.04614,0.0997084,0.08345314,0.059190325,0.33245516,0.1891734,0.07152811,3,0.7269351308684944,0.27468157,0.45126435,0.6977352,0.3970926091200867,0.605343406770334,
1_1_1_1_1_2_7_2,297.81943,0.0958177,0.0804548,0.05624695,0.3341784,0.18739304,0.07208051,3,0.7290751894068136,0.28142905,0.44440958,0.71186835,0.40604749890879077,0.605343406770334,
1_1_1_1_1_2_7_3,298.04376,0.09848227,0.08199548,0.0557006,0.32662034,0.18501489,0.071369655,3,0.7344331927720682,0.27677032,0.44326085,0.70861864,0.4039474686892865,0.605343406770334,
1_1_1_1_1_2_7_4,297.97342,0.09667635,0.08244945,0.055949323,0.3330277,0.19009736,0.07367955,3,0.734059430122661,0.27322403,0.4413495,0.7123258,0.4121434056707259,0.605343406770334,
1_1_1_1_1_2_7_5,297.85168,0.097977765,0.082038224,0.05539733,0.33608633,0.18313305,0.07081034,3,0.7516009303870133,0.29458314,0.44231397,0.7169878,0.40169743439879896,0.605343406770334,
1_1_1_1_1_2_8_0,298.61533,0.10403736,0.09317745,0.08195545,0.31798682,0.21654731,0.10227938,3,0.5732037007865838,0.1897718,0.3584014,0.5901636,0.35424613708292557,0.08561813011506358,
1_1_1_1_1_2_8_1,298.39935,0.09900813,0.08186595,0.058365546,0.3412492,0.18472208,0.07283175,3,0.7453081529949251,0.2975963,0.43443474,0.7078909,0.3917098542350789,0.08561813011506358,
1_1_1_1_1_2_8_2,298.2734,0.098932385,0.08181073,0.060518958,0.3488531,0.18495373,0.07172756,3,0.7431492069811632,0.30703872,0.4411158,0.70433277,0.38328804551102513,0.08561813011506358,
1_1_1_1_1_2_8_3,298.4195,0.101778135,0.08210698,0.060448118,0.3433569,0.18395326,0.07224615,3,0.7502543442026162,0.3022958,0.43601626,0.7006074,0.3815149318562263,0.08561813011506358,
1_1_1_1_1_2_8_4,298.3233,0.098221615,0.08140484,0.05708626,0.34763402,0.18615404,0.07055792,3,0.7618011800709277,0.30251703,0.450295,0.7178977,0.4003643528331672,0.08561813011506358,
1_1_1_1_1_2_8_5,298.21515,0.09788193,0.081979275,0.057178423,0.3415137,0.18886559,0.07035514,3,0.7478808891060212,0.28780934,0.45717967,0.71317005,0.40521853376157624,0.08561813011506358,
1_1_1_1_1_2_9_0,298.21512,0.09907225,0.08101367,0.058332495,0.31553936,0.18632913,0.072689354,3,0.69704326001493,0.25745836,0.4387323,0.6879546,0.39500858011364615,0.22949667509220983,
1_1_1_1_1_2_9_1,298.064,0.09551157,0.08189286,0.057189748,0.3313092,0.20083246,0.08411381,3,0.7152602320692963,0.24519175,0.40961635,0.7055861,0.4244591824473315,0.22949667509220983,
1_1_1_1_1_2_9_2,298.08542,0.10130771,0.08209006,0.05739022,0.29294512,0.19379729,0.078165285,3,0.6711129405787014,0.20369671,0.42517617,0.6723698,0.41207794593140173,0.22949667509220983,
1_1_1_1_1_2_9_3,298.02588,0.10155616,0.08635976,0.06496436,0.30874845,0.19613542,0.080431275,3,0.6505326325325749,0.2230474,0.41835892,0.65233004,0.38497125024226153,0.22949667509220983,
1_1_1_1_1_2_9_4,298.0473,0.101894215,0.081977375,0.057327818,0.29591346,0.19114287,0.07732229,3,0.6811487671901753,0.2151098,0.4239678,0.6754184,0.4075611525253002,0.22949667509220983,
1_1_1_1_1_2_9_5,298.0854,0.10075205,0.08289817,0.059079636,0.30278155,0.18833163,0.075026214,3,0.6757341919929937,0.23304184,0.4302337,0.67346793,0.39529101573078723,0.22949667509220983,
1_1_1_1_1_2_13_0,297.93408,0.099080995,0.08155426,0.057339657,0.3333388,0.17852001,0.07109746,3,0.7385428005789683,0.30246386,0.43034866,0.70646113,0.38406094045819683,0.6084619388211596,
1_1_1_1_1_2_13_1,297.9496,0.10133544,0.08198223,0.06047922,0.3298773,0.18555774,0.07204532,3,0.722063482378516,0.27999562,0.4406486,0.6901334,0.38458524684062234,0.6084619388211596,
1_1_1_1_1_2_13_2,297.97104,0.10078377,0.07970569,0.059852228,0.3029926,0.16986792,0.07090366,3,0.6707486138464892,0.28153056,0.41102967,0.67009467,0.3552012319602199,0.6084619388211596,
1_1_1_1_1_2_13_3,297.87207,0.10088125,0.08101533,0.05897434,0.33978784,0.18405467,0.07064058,3,0.7492159880473233,0.29729006,0.4452933,0.70421296,0.3882193245693218,0.6084619388211596,
1_1_1_1_1_2_13_4,297.92813,0.10114132,0.08113225,0.060435664,0.3315174,0.1840511,0.072158545,3,0.7243747186834337,0.2860266,0.43672264,0.69161785,0.3817767067725218,0.6084619388211596,
1_1_1_1_1_2_13_5,297.99963,0.10054273,0.079812825,0.058527622,0.31100965,0.17631154,0.06962488,3,0.695079459119643,0.2764052,0.43379772,0.6832383,0.37469321505307884,0.6084619388211596,
1_1_1_1_1_2_14_0,298.01395,0.102555685,0.084935315,0.05849388,0.3463789,0.19773167,0.07815352,3,0.7754064696438123,0.27319303,0.43343446,0.71105057,0.41468280860789947,0.5583753983777038,
1_1_1_1_1_2_14_1,298.0759,0.09942189,0.08366763,0.056060128,0.33752474,0.18939784,0.07897959,3,0.7580751496021633,0.28111702,0.411429,0.7151307,0.40932911867087945,0.5583753983777038,
1_1_1_1_1_2_14_2,298.05682,0.096953675,0.0800003,0.053088784,0.32917804,0.1764121,0.07030138,3,0.7497876233111531,0.3021537,0.430097,0.72224224,0.3985444590333088,0.5583753983777038,
1_1_1_1_1_2_14_3,298.03778,0.101753354,0.0812731,0.057608686,0.32622534,0.18341953,0.070802525,3,0.738991370261708,0.28020653,0.44298676,0.699825,0.3927477431976372,0.5583753983777038,
1_1_1_1_1_2_14_4,298.10205,0.10139668,0.0834471,0.05972381,0.3355096,0.19030985,0.07396087,3,0.7386770937732996,0.27613991,0.44026437,0.69777954,0.3965776260170994,0.5583753983777038,
1_1_1_1_1_2_14_5,298.1651,0.10124614,0.0822638,0.05908767,0.3403846,0.19143784,0.073577926,3,0.7516769527952847,0.28006858,0.44472793,0.70417136,0.4014434209521319,0.5583753983777038,
1_1_1_1_1_2_14_6,298.07114,0.10097126,0.08091092,0.059934754,0.3144932,0.1774145,0.07211393,3,0.6941362752863177,0.2786675,0.4219983,0.67985964,0.3705114527302045,0.5583753983777038,
1_1_1_1_1_2_14_7,298.05444,0.10008747,0.08155481,0.058627605,0.32809955,0.18468945,0.07406206,3,0.7250034729811528,0.27966687,0.42754298,0.6968012,0.3903092646276253,0.5583753983777038,
1_1_1_1_1_2_14_8,298.04492,0.10139091,0.082678586,0.059739035,0.33104965,0.1901045,0.0741006,3,0.7300738099486548,0.2704481,0.4390676,0.69426423,0.3960968785286172,0.5583753983777038,
1_1_1_1_1_2_15_0,298.26245,0.100815624,0.083217695,0.05846621,0.35806364,0.19880414,0.07565494,3,0.7861437963472763,0.28599158,0.44869787,0.71927,0.4172277181202262,0.23824310255482517,
1_1_1_1_1_2_15_1,298.32532,0.10034616,0.0824283,0.060248554,0.35037354,0.19216864,0.076634936,3,0.7561098408843989,0.29159927,0.42980716,0.7065499,0.3974188899223913,0.23824310255482517,
1_1_1_1_1_2_15_2,298.3028,0.101306945,0.08135755,0.060068592,0.33094153,0.1870626,0.07651974,3,0.7269407076142876,0.27775633,0.41938645,0.6927517,0.3884255897123551,0.23824310255482517,
1_1_1_1_1_2_15_3,298.36084,0.10140158,0.08174124,0.05967042,0.3311504,0.18912275,0.07563913,3,0.730837134670066,0.2729867,0.42862523,0.6946405,0.3942214102551638,0.23824310255482517,
1_1_1_1_1_2_15_4,298.4544,0.10175739,0.08212274,0.06086655,0.33980918,0.19259906,0.07644081,3,0.740428770918862,0.2764986,0.43175104,0.6961805,0.3957128682910573,0.23824310255482517,
1_1_1_1_1_2_15_5,298.47205,0.10147111,0.08281878,0.060113072,0.3550744,0.19644108,0.07621208,3,0.7723769425419482,0.28763166,0.4409595,0.71042925,0.4060137561572265,0.23824310255482517,
1_1_1_1_1_2_19_0,298.05206,0.10212292,0.08385644,0.06747633,0.27098265,0.18623525,0.08273583,3,0.559133213445791,0.18535452,0.38479757,0.60127324,0.35543648127451927,0.6786686882457073,
1_1_1_1_1_2_19_1,297.96747,0.10128334,0.0809975,0.06038449,0.27810216,0.18391258,0.07524802,3,0.617965532184114,0.20386706,0.4192943,0.64320904,0.3811629137010577,0.6786686882457073,
1_1_1_1_1_2_19_2,298.0318,0.10110615,0.08224602,0.061245903,0.27777648,0.1853855,0.07851182,3,0.6103195503401578,0.19947878,0.40498206,0.63869107,0.37988577811356766,0.6786686882457073,
1_1_1_1_1_2_19_3,298.03302,0.10164083,0.082517885,0.06328935,0.2834227,0.18612096,0.0789136,3,0.6109028115329758,0.2072262,0.40450332,0.6349169,0.3728230694803386,0.6786686882457073,
1_1_1_1_1_2_22_0,297.23032,0.097782224,0.079831675,0.058007475,0.29611164,0.18414816,0.0736108,3,0.6535650862574278,0.23313107,0.42884004,0.6723844,0.39196226317404115,0.23053531951819262,
1_1_1_1_1_2_22_1,297.25793,0.09810263,0.079937816,0.05874285,0.29616594,0.18838957,0.07566707,3,0.650222451479786,0.22242317,0.4268876,0.66896933,0.3966970200656367,0.23053531951819262,
1_1_1_1_1_2_22_2,297.21838,0.09753373,0.07822399,0.05650131,0.29657358,0.18359789,0.07150097,3,0.6638590654593324,0.23528196,0.4394254,0.67994714,0.3977147688591177,0.23053531951819262,
1_1_1_1_1_2_22_3,297.21954,0.09772121,0.07946633,0.059139296,0.30449122,0.18680668,0.074704155,3,0.6620983952629089,0.23953806,0.42867258,0.67472863,0.3921579909759269,0.23053531951819262,
1_1_1_1_1_2_24_0,297.96152,0.098024115,0.079687856,0.05681152,0.2809487,0.18225652,0.07391804,3,0.6319869128350415,0.21306361,0.42290884,0.66359854,0.39329326728486075,0.19636053928855568,
